sigma,class,accuracy,n
0.0,Normal,0.9740394600207685,963
0.0,STEMI,0.6434108527131783,516
0.0,NSTEMI,0.7513513513513513,185
0.0,AFIB,0.45454545454545453,44
0.1,Normal,0.9179646936656283,963
0.1,STEMI,0.5484496124031008,516
0.1,NSTEMI,0.8216216216216217,185
0.1,AFIB,0.7272727272727273,44
0.25,Normal,0.505711318795431,963
0.25,STEMI,0.12015503875968993,516
0.25,NSTEMI,0.7135135135135136,185
0.25,AFIB,0.75,44
0.5,Normal,0.01142263759086189,963
0.5,STEMI,0.0,516
0.5,NSTEMI,0.4648648648648649,185
0.5,AFIB,0.8863636363636364,44
1.0,Normal,0.0,963
1.0,STEMI,0.0,516
1.0,NSTEMI,0.5243243243243243,185
1.0,AFIB,0.45454545454545453,44
2.0,Normal,0.0,963
2.0,STEMI,0.0,516
2.0,NSTEMI,0.8,185
2.0,AFIB,0.3409090909090909,44
