Candidate,Disease,Subband,Cosine,Mahalanobis,Bhattacharyya,Status
S3-001,Normal,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,Normal,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,Normal,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,Normal,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,STEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,STEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,STEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,STEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,NSTEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,NSTEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,NSTEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-001,NSTEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,Normal,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,Normal,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,Normal,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,Normal,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,STEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,STEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,STEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,STEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,NSTEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,NSTEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,NSTEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-002,NSTEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,Normal,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,Normal,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,Normal,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,Normal,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,STEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,STEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,STEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,STEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,NSTEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,NSTEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,NSTEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-003,NSTEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,Normal,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,Normal,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,Normal,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,Normal,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,STEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,STEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,STEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,STEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,NSTEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,NSTEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,NSTEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-004,NSTEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,Normal,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,Normal,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,Normal,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,Normal,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,STEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,STEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,STEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,STEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,NSTEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,NSTEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,NSTEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-005,NSTEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,Normal,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,Normal,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,Normal,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,Normal,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,STEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,STEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,STEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,STEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,NSTEMI,A3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,NSTEMI,D3,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,NSTEMI,D2,,,,not yet evaluated -- no subband_similarity_metrics.csv found
S3-006,NSTEMI,D1,,,,not yet evaluated -- no subband_similarity_metrics.csv found
